,mt,ribo,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
AC027627.1,False,False,6,0.004043905,99.65337954939342,7.0,False,0.011017961605583054,0.24980497552417089,-0.038624067
AGA,False,False,199,0.12709416,88.50375505488157,220.0,False,0.0952615180795333,0.3746106599885551,0.15300086
AC078881.1,False,False,114,0.0762565,93.41421143847487,132.0,True,0.08283510252401526,1.1607516870890042,1.3600309
AC103879.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC01098,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
LINC01099,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC020551.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC108169.1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
AC096747.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC104803.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC00290,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
LINC02500,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC093840.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC084741.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TEMN3-AS1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
TENM3-AS1,False,False,1,0.00057770073,99.94222992489891,1.0,False,9.999999999995e-13,,
TENM3,False,False,5,0.0028885037,99.71114962449451,5.0,False,0.003930984606423687,-0.30802620867680014,-0.89511037
AC108142.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC079226.2,False,False,1,0.00057770073,99.94222992489891,1.0,False,0.004019979864599324,0.2631845993426081,-0.018081175
AC079226.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC114798.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC079766.1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
DCTD,False,False,584,0.42980936,66.26227614095899,744.0,False,0.3140814960867553,-0.08989455276567829,-1.2864728
AC019193.4,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC019193.3,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
AC019193.2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
WWC2-AS2,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
WWC2,False,False,90,0.057192374,94.80069324090121,99.0,True,0.06592254475339944,1.0613416093493124,1.207398
WWC2-AS1,False,False,0,0.0,100.0,0.0,False,9.999999999995e-13,,
